scenario,scenario2,method,mse_clean,mse_meaningful_weak_best,mse_meaningful_strong_best,mse_noise_weak_best,mse_noise_strong_best
step,highdim,Momentum,10.6549,20.977,47.1382,15.8935,19.393
step,highdim,Momentum+Flood,10.691,21.1627,47.5483,15.1856,18.1962
step,highdim,TopK,15.0975,27.6584,57.1776,23.7817,26.9415
step,highdim,TopK+Flood,15.2796,27.9607,57.6603,26.0406,36.0012
step,highdim,TopK+Momentum,14.3769,26.6262,55.6781,22.1194,27.8716
step,highdim,TopK+Momentum+Flood,14.4748,26.831,56.0433,21.942,28.0926
step,highdim,Vanilla,11.315,21.9247,48.5172,17.4801,24.1031
step,highdim,Vanilla+Flood,11.3178,22.0669,48.8685,17.1334,22.9914
step,highnoise,Momentum,9.0975,16.7373,38.9812,12.2323,16.4626
step,highnoise,Momentum+Flood,9.1876,17.119,39.8,11.6926,15.6213
step,highnoise,TopK,10.471,18.9274,42.396,17.1062,24.906
step,highnoise,TopK+Flood,10.7276,19.5209,43.4948,15.9932,22.0069
step,highnoise,TopK+Momentum,10.4592,18.9058,42.3598,16.4826,22.1379
step,highnoise,TopK+Momentum+Flood,10.7242,19.4608,43.3497,16.5553,23.8434
step,highnoise,Vanilla,9.184,16.851,39.1355,12.6432,16.6247
step,highnoise,Vanilla+Flood,9.2293,17.1096,39.7142,12.5518,18.9485
